,ERed
1569,1.29
1570,1.5
1571,1.34
1572,1.14
1573,1.44
1574,1.45
1575,1.4
1576,1.65
1577,1.24
1578,1.42
1579,1.61
1580,1.32
1581,1.17
1582,1.48
1583,1.29
1584,1.55
1585,1.16
1586,1.6
1587,1.58
1588,1.52
1589,1.38
1590,1.23
1591,1.47
1592,1.02
1593,1.44
1594,1.43
1595,1.25
1596,1.46
1597,1.25
1598,1.58
1599,1.33
1600,1.06
1601,1.36
1602,1.37
1603,1.47
1604,1.63
1605,1.57
1606,1.5
1607,1.43
1608,1.11
1609,1.5
1610,1.59
1611,1.34
1612,1.05
1613,1.43
1614,1.19
1615,1.58
1616,1.3
1617,1.43
1618,1.15
1619,1.39
1620,1.28
1621,1.5
1622,1.33
1623,1.61
1624,1.24
1625,1.29
1626,1.57
1627,1.23
1628,1.53
1629,1.38
1630,1.49
1631,1.21
1632,1.03
1633,1.65
1634,1.3
1635,1.24
1636,1.46
1637,1.19
1638,1.39
1639,1.23
1640,1.44
1641,1.28
1642,1.47
1643,1.06
1644,1.54
1645,1.41
1646,1.45
1647,1.31
1648,1.44
1649,1.51
1650,1.45
1651,1.19
1652,1.13
1653,1.31
1654,1.09
1655,1.51
1656,1.2
1657,1.67
1658,1.48
1659,1.46
1660,1.21
1661,1.53
1662,1.38
1663,1.43
1664,1.48
1665,1.43
1666,1.27
1667,1.64
1668,1.43
1669,1.49
1670,1.5
1671,1.4
1672,1.69
1673,1.49
1674,1.39
1675,1.28
1676,1.52
1677,1.43
1678,1.38
1679,1.29
1680,1.38
1681,1.54
1682,1.51
1683,1.63
1684,1.59
1685,1.45
1686,1.41
1687,1.51
1688,1.5
1689,1.32
1690,1.31
1691,1.47
1692,1.07
1693,1.55
1694,1.22
1695,1.56
1696,1.18
1697,1.38
1698,1.22
1699,1.15
1700,1.58
1701,1.35
1702,1.59
1703,1.61
1704,1.46
1705,1.32
1706,1.46
1707,1.25
1708,1.19
1709,1.14
1710,1.37
1711,1.51
1712,1.19
1713,1.46
1714,1.4
1715,1.27
1716,1.08
1717,1.1
1718,1.51
1719,1.08
1720,1.15
1721,1.45
1722,1.02
1723,1.3
1724,1.27
1725,1.2
1726,1.68
1727,1.21
1728,1.08
1729,1.27
1730,1.28
1731,1.2
1732,1.57
1733,1.09
1734,1.53
1735,1.53
1736,1.48
1737,1.5
1738,1.46
1739,1.28
1740,1.69
1741,1.13
1742,1.5
1743,1.51
1744,1.61
1745,1.31
1746,1.38
1747,1.16
1748,1.42
1749,1.36
1750,1.46
1751,1.37
1752,1.41
1753,1.39
1754,1.24
1755,1.34
1756,1.46
1757,1.18
1758,1.64
1759,1.13
1760,1.43
1761,1.12
1762,1.38
1763,1.52
1764,1.27
1765,1.47
1766,1.49
1767,1.08
1768,1.11
1769,1.38
1770,1.44
1771,1.31
1772,1.17
1773,1.57
1774,1.49
1775,1.23
1776,1.37
1777,1.51
1778,1.47
1779,1.38
1780,1.18
1781,1.29
1782,1.19
1783,0.86
1784,1.28
1785,1.08
1786,1.7
1787,1.4
1788,1.49
1789,1.6
1790,1.15
1791,1.42
1792,1.18
1793,1.52
1794,1.41
1795,1.39
1796,1.44
1797,1.08
1798,1.09
1799,1.26
1800,1.68
1801,1.36
1802,1.2
1803,1.62
1804,0.97
1805,1.68
1806,1.31
1807,1.45
1808,1.17
1809,1.45
1810,1.25
1811,1.07
1812,1.17
1813,1.36
1814,1.8
1815,1.27
1816,1.55
1817,1.23
1818,1.36
1819,1.0
1820,1.44
1821,1.12
1822,1.11
1823,1.12
1824,1.23
1825,1.28
1826,1.58
1827,0.95
1828,1.51
1829,1.34
1830,1.08
1831,1.22
1832,1.32
1833,1.61
1834,1.71
1835,1.4
1836,1.62
1837,1.18
1838,1.31
1839,1.13
1840,1.51
1841,1.26
1842,1.26
1843,1.38
1844,1.2
1845,1.39
1846,1.14
1847,1.11
1848,1.01
1849,1.41
1850,1.58
1851,1.14
1852,1.43
1853,1.33
1854,1.11
1855,1.22
1856,1.4
1857,1.22
1858,1.17
1859,1.12
1860,1.16
